"id_k","id_tenant","nama","status"
16,266,Hotel Chanti by Tentrem Hotel,0
16,267,Hotel Dalu Semarang,0
12,268,Hotel Kesambi Hijau,0
,269,Grand Candi Hotel,0
12,270,Hotel Ciputra Semarang,0
,271,Marabunta Resto & Bar,0
16,272,"Undip Inn, Hotel",0
12,273,The Tavern,0
12,274,On On Pub,0
16,275,Wimarion Hotel Semarang,0
12,276,Seoul Palace korean Restaurant,0
12,277,Tong Tji Tea House Paragon,0
12,278,Hotel Dafam Semarang,0
12,279,Whiz Hotel Pemuda Semarang,0
16,280,Hotel NEO Candi Simpang Lima Semarang,0
12,281,Portobello Setiabudi,0
16,282,Hotel Noormans Semarang,0
,283,MR. DIY JAVA SUPERMALL SEMARANG,0
12,284,Coloniale Kitchen,0
,285,ADA FASHION,0
12,286,Pesta Keboen Restoran,0
16,287,POP! Hotel Pemuda Semarang,0
12,288,LOT 28 RESTO & COFFEE,0
12,289,Restoran Nglaras Rasa Thamrin,0
19,290,OPTIK VALLA,0
16,291,Hotel GranDhika Pemuda Semarang,0
12,292,Bowery Resto,0
12,293,Eastman Coffee House,0
,294,GOSH,0
,295,The Face Shop,0
,296,Oppo Store Paragon Mall Semarang,0
,297,Gyu Kaku,0
,298,Vonny Kusumawati,0
12,299,Bandeng bonafide,0
16,300,Aruuman Hotel Simpanglima Semarang,0
,301,JACO TV SHOPPING,0
,302,Bali watch,0
,303,Fore Coffee,0
16,304,Holiday inn express Semarang Simpang Lima ,0
,305,Wakai,0
,306,Koi The,0
,307,Scruncie,0
,308,Story-i Apple Store,0
12,309,ZAP Semarang Paragon Mall ,0
16,310,Hotel Ibis Semarang Simpang Lima,0
,311,HOTEL NOVOTEL SEMARANG,0
16,312,HOTEL IBIS BUDGET SEMARANG TENDEAN,0
12,313,Levi's,0
16,314,Allstay Hotel Semarang,0
16,315,GRAND AULARIS HOTEL,0
,316,Staccaton Paragon Mall Semarang,0
,317,Grand Arkenso Parkview Hotel Semarang ,0
,318,ARTOTEL GAJAHMADA SEMARANG,0
16,319,MG Setos Hotel Semarang,0
29,320,Pands Semarang,0
16,321,Radja Art & Boutique Hotel,0
16,322,Awann Sewu Boutique Hotel & Suite ,0
12,323,ANDELIR HOTEL SIMPANGLIMA SEMARANG,0
,324,KIDZ STATION,0
12,325,Waroeng Kopi Alam,0
16,326,Surya Boutique Hotel Kota Lama Semarang,0
16,327,Hotel Pantes Kawi,0
12,328,Susan Cafe&Resto,0
12,329,Wishbone,0
12,330,Portobello Halmahera,0
12,331,Sixteen 8 Resto and Ballroom,0
,332,HOTEL MURIA KOTA LAMA SEMARANG,0
,333,Tong Tji Tea House DP Mall,0
,334,Tong Tji Tea Point Premium Tentrem,0
,335,Tong Tji Tea House Java Mall,0
16,336,UTC HOTEL SEMARANG,0
,337,"Amaris Hotel, Semarang",0
16,338,Hotel Candi Indah Convention,0
,339,Tea House Tong Tji Citraland ,0
12,340,Grand Candi Hotel,0
12,341,Posin Bakery & Cafe,0
12,342,Tongtji Express Citraland,0
,343,Istana Mie & Es Citraland,0
16,344,Hotel Sonic Airport Semarang,0
16,345,Horison Inn Alaska Simpang Lima Semarang,0
,346,Istana MI e & Es,0
16,347,Pesonna Hotel Semarang,0
,348,Istana Mie & Es,0
,349,Istana Mie & Es,0
,350,Istana Mie & Es ,0
,351,Istana Mie & Es ,0
,352,Istana Mie & Es,0
16,353,Artotel Gajahmada Semarang ,0
,354,Istana Mie & Es ,0
